"UF;CIDADE;UNIDADE;ENDEREÇO;URL"
"BA;FEIRA DE SANTANA ;FEIRA DE SANTANA; RUA CEL. JOSÉ PINTO DOS SANTOS, S/N;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/120/SITE/LANDING-PAGE/CHECKOUT/15501/0"
"SP;RIO PRETO;GLICERIO;R. GEN. GLICÉRIO, 3733 ;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/156/SITE/LANDING-PAGE/CHECKOUT/15526/0"
"CE;FORTALEZA;GODOFREDO MACIEL; AV. GODOFREDO MACIEL, 4035;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/259/SITE/CKXAN4HQE9Q9PQDLIZDAFQ%5BEQUAL%5D%5BEQUAL%5D"
"MA;SÃO LUIS;GOLDEN SHOPPING; AV. DOS HOLANDESESM 200;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/133/SITE/LANDING-PAGE/CHECKOUT/15513/0"
"PI;TERESINA;HOMERO CASTELO BRANCO;AV. HOMERO CASTELO BRANCO, 1.070 ;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/263/SITE/LANDING-PAGE/CHECKOUT/15571/0"
"RJ;NITERÓI;ICARAÍ; AV. SETE DE SETEMBRO, 291;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/224/SITE/LANDING-PAGE/CHECKOUT/15542/0"
"PA;BELÉM;IT CENTER; AV. SENADOR LEMOS, 3153;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/132/SITE/LANDING-PAGE/CHECKOUT/15512/0"
"MT;CUIABÁ;JARDIM DAS AMÉRICAS; AV. FERNANDO CORRÊA DA COSTA, 1255;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/226/SITE/LANDING-PAGE/CHECKOUT/15543/0"
"SE;ARACAJU;JARDINS; AV. MARIETA LEITE, 3;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/123/SITE/OQOFUAVZCNCO9CNVOB3KUA%5BEQUAL%5D%5BEQUAL%5D"
"PE;RECIFE;JEAN EMILE; RUA JEAN EMILE FAVRE, 685;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/245/SITE/LANDING-PAGE/CHECKOUT/15553/0"
"RN;LAGOA NOVA;LAGOA NOVA; AV. SEM. SALGADO FILHO, 1656;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/115/SITE/LANDING-PAGE/CHECKOUT/15496/0"
"SP;SÃO PAULO;LAR CENTER; AV. OTTO BAUMGART, 500;HTTPS://ADMIN.SELFITACADEMIAS.COM.BR/SELFIT/199/SITE/LANDING-PAGE/CHECKOUT/15533/0"
"BA;LAURO DE FREITAS;LAURO DE FREITAS; AV. LUIZ TARQUINIO PONTES, 2603;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/228/SITE/LANDING-PAGE/CHECKOUT/15545/0"
"PE;RECIFE;MADALENA; RUA PROF. BENEDITO MONTEIRO, 224;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/131/SITE/LANDING-PAGE/CHECKOUT/15511/0"
"PB;JOÃO PESSOA;MAG SHOPPING;  AV. GOV. FLÁVIO RIBEIRO COUTINHO, 115;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/106/SITE/LANDING-PAGE/CHECKOUT/15489/0"
"AM;MANAUS;MANAUS PLAZA SHOPPING; AV. DJALMA BATISTA, 2100;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/205/SITE/LANDING-PAGE/CHECKOUT/15539/0"
"PB;JOÃO PESSOA;MANGABEIRA; AV. HILTON SOUTO MAIOR, 3904;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/103/SITE/LANDING-PAGE/CHECKOUT/15487/0"
"AL;MACEIÓ;MANGABEIRAS; AV. COMENDADOR GUSTAVO PAIVA, 3261;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/119/SITE/LANDING-PAGE/CHECKOUT/15500/0"
"SP;MARÍLIA;MARILIA SHOPPING;R. DOS TUCUNARÉS, 500;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/158/SITE/LANDING-PAGE/CHECKOUT/15527/0"
"BA;SALVADOR;MATATU; RUA BARROS DE FALCÃO, 21;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/238/SITE/LANDING-PAGE/CHECKOUT/15547/0"
"PA;SANTARÉM;MENDONÇA FURTADO; AV. MENDONÇA FURTADO;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/159/SITE/LANDING-PAGE/CHECKOUT/15528/0"
"AM;MANAUS;N.SRA DAS GRAÇAS;AV. JOÃO VALÉRIO, 708;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/121/SITE/LANDING-PAGE/CHECKOUT/15502/0"
"PE;PAULISTA;NORTHWAY; RODOVIA 15, KM 16,5;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/239/SITE/LANDING-PAGE/CHECKOUT/15548/0"
"RN;PARNAMIRIM;NOVA PARNAMIRIM; RUA ANIBAL BRANDÃO, 334;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/251/SITE/LANDING-PAGE/CHECKOUT/15559/0"
"RJ;RIO DE JANEIRO;OLARIA; RUA LEOPOLDINA RÊGO, 666;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/200/SITE/LANDING-PAGE/CHECKOUT/15534/0"
"PA;BELÉM;PARQUE SHOPPING BELEM;ROD. AUGUSTO MONTENEGRO, 4300;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/134/SITE/LANDING-PAGE/CHECKOUT/15514/0"
"AL;MACEIÓ;PARQUE SHOPPING MACEIÓ; AV. COMENDADOR GUSTAVO PAIVA, 5945;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/203/SITE/LANDING-PAGE/CHECKOUT/15537/0"
"SP;RIBEIRÃO PRETO;PRESIDENTE VARGAS;AV. PRESIDENTE VARGA, 1617;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/148/SITE/LANDING-PAGE/CHECKOUT/15524/0"
"BA;SALVADOR;PARALELA;AV. LUIS VIANA, 3.056;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/269/SITE/LANDING-PAGE/CHECKOUT/15577/0"
"PE;JABOATÃO;PIEDADE ; RUA NOSSA SENHORA DE FÁTIMA, 239;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/116/SITE/LANDING-PAGE/CHECKOUT/15497/0"
"PE;JABOATÃO;PIEDADE 2; RUA PARAÍBA, 476;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/288/SITE/LANDING-PAGE/CHECKOUT/15594/0"
"RN;NATAL;PONTA NEGRA; RUA CABO DE SÃO ROQUE, 8805;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/122/SITE/LANDING-PAGE/CHECKOUT/15503/0"
"AL;MACEIÓ;PONTA VERDE; RUA DEPUTADO JOSÉ LAGES, 3283;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/111/SITE/LANDING-PAGE/CHECKOUT/15493/0"
