"UF;CIDADE;UNIDADE;ENDEREÇO;URL";
"PE;RECIFE;JEAN EMILE; Rua Jean Emile Favre, 685;https://evo-totem.w12app.com.br/selfit/245/site/landing-page/checkout/15553/0";
"RN;LAGOA NOVA;LAGOA NOVA; Av. Sem. Salgado Filho, 1656;https://evo-totem.w12app.com.br/selfit/115/site/landing-page/checkout/15496/0";
"SP;SÃO PAULO;LAR CENTER; Av. Otto Baumgart, 500;https://admin.selfitacademias.com.br/selfit/199/site/landing-page/checkout/15533/0";
"BA;LAURO DE FREITAS;LAURO DE FREITAS; Av. Luiz Tarquinio Pontes, 2603;https://evo-totem.w12app.com.br/selfit/228/site/landing-page/checkout/15545/0";
"PE;RECIFE;MADALENA; Rua Prof. Benedito Monteiro, 224;https://evo-totem.w12app.com.br/selfit/131/site/landing-page/checkout/15511/0";
"PB;JOÃO PESSOA;MAG SHOPPING;  Av. Gov. Flávio Ribeiro Coutinho, 115;https://evo-totem.w12app.com.br/selfit/106/site/landing-page/checkout/15489/0";
"AM;MANAUS;MANAUS PLAZA SHOPPING; Av. Djalma Batista, 2100;https://evo-totem.w12app.com.br/selfit/205/site/landing-page/checkout/15539/0";
"PB;JOÃO PESSOA;MANGABEIRA; Av. Hilton Souto Maior, 3904;https://evo-totem.w12app.com.br/selfit/103/site/landing-page/checkout/15487/0";
"AL;MACEIÓ;MANGABEIRAS; Av. Comendador Gustavo Paiva, 3261;https://evo-totem.w12app.com.br/selfit/119/site/landing-page/checkout/15500/0";
"SP;MARÍLIA;MARILIA SHOPPING;R. dos Tucunarés, 500;https://evo-totem.w12app.com.br/selfit/158/site/landing-page/checkout/15527/0";
"BA;SALVADOR;MATATU; Rua Barros de Falcão, 21;https://evo-totem.w12app.com.br/selfit/238/site/landing-page/checkout/15547/0";
"PA;SANTARÉM;MENDONÇA FURTADO; Av. Mendonça Furtado;https://evo-totem.w12app.com.br/selfit/159/site/landing-page/checkout/15528/0";
"AM;MANAUS;N.SRA DAS GRAÇAS;Av. João Valério, 708;https://evo-totem.w12app.com.br/selfit/121/site/landing-page/checkout/15502/0";
"PE;PAULISTA;NORTHWAY; Rodovia 15, km 16,5;https://evo-totem.w12app.com.br/selfit/239/site/landing-page/checkout/15548/0";
"RN;PARNAMIRIM;NOVA PARNAMIRIM; Rua Anibal Brandão, 334;https://evo-totem.w12app.com.br/selfit/251/site/landing-page/checkout/15559/0";
"RJ;RIO DE JANEIRO;OLARIA; Rua Leopoldina Rêgo, 666;https://evo-totem.w12app.com.br/selfit/200/site/landing-page/checkout/15534/0";
"PA;BELÉM;PARQUE SHOPPING BELEM;Rod. Augusto Montenegro, 4300;https://evo-totem.w12app.com.br/selfit/134/site/landing-page/checkout/15514/0";
"AL;MACEIÓ;PARQUE SHOPPING MACEIÓ; Av. Comendador Gustavo Paiva, 5945;https://evo-totem.w12app.com.br/selfit/203/site/landing-page/checkout/15537/0";
"SP;RIBEIRÃO PRETO;PRESIDENTE VARGAS;Av. Presidente Varga, 1617;https://evo-totem.w12app.com.br/selfit/148/site/landing-page/checkout/15524/0";
"BA;SALVADOR;PARALELA;Av. Luis Viana, 3.056;https://evo-totem.w12app.com.br/selfit/269/site/landing-page/checkout/15577/0";
"PE;JABOATÃO;PIEDADE ; Rua Nossa Senhora de Fátima, 239;https://evo-totem.w12app.com.br/selfit/116/site/landing-page/checkout/15497/0";
"PE;JABOATÃO;PIEDADE 2; Rua Paraíba, 476;https://evo-totem.w12app.com.br/selfit/288/site/landing-page/checkout/15594/0";
"RN;NATAL;PONTA NEGRA; Rua Cabo de São Roque, 8805;https://evo-totem.w12app.com.br/selfit/122/site/landing-page/checkout/15503/0";
"AL;MACEIÓ;PONTA VERDE; Rua Deputado José Lages, 3283;https://evo-totem.w12app.com.br/selfit/111/site/landing-page/checkout/15493/0";
"PI;TERESINA;PRESIDENTE KENNEDY;Av. Pres. Kennedy, 840;https://evo-totem.w12app.com.br/selfit/142/site/landing-page/checkout/15520/0";
"BA;SALVADOR;RIO VERMELHO; Rua Conselheiro Pedro Luiz, 92;https://evo-totem.w12app.com.br/selfit/114/site/landing-page/checkout/15495/0";
"PI;TERESINA;RIVERSIDE; Av. Ininga, 1201;https://evo-totem.w12app.com.br/selfit/113/site/landing-page/checkout/15494/0";
"PE;RECIFE;ROSA E SILVA; Av. Cons. Rosa e Silva, 797;https://evo-totem.w12app.com.br/selfit/126/site/landing-page/checkout/15507/0";
"SP;SÃO PAULO;SANTA CLARA;Rua Buenópolis, 144;https://evo-totem.w12app.com.br/selfit/229/site/landing-page/checkout/15546/0";
"SP;SOROCABA;SANTA ROSALIA;R. Maria Cinto de Biagi, 164;https://evo-totem.w12app.com.br/selfit/144/site/landing-page/checkout/15522/0";
"RN;SÃO GONÇALO DO AMARANTE;SÃO GONÇALO DO AMARANTE;Av. Benedito Santana, 5;https://evo-totem.w12app.com.br/selfit/264/site/landing-page/checkout/15572/0";
"BA;SALVADOR;SÃO RAFAEL; Estrada do Mandu, 56;https://evo-totem.w12app.com.br/selfit/110/site/landing-page/checkout/15492/0";
"CE;FORTALEZA;SCOPA PLATINUM; Rua Monsenhor Bruno, 1153;https://evo-totem.w12app.com.br/selfit/129/site/landing-page/checkout/15509/0";
"CE;FORTALEZA;SHOPPING PARANGABA; Rua Germano Franck, 300;https://evo-totem.w12app.com.br/selfit/204/site/landing-page/checkout/15538/0";
"PA;MARABÁ;SHOPPING PARTAGE MARABÁ;Rodovia Transamazônica, Folha 30;https://evo-totem.w12app.com.br/selfit/135/site/landing-page/checkout/15515/0";
"SP;RIO CLARO;SHOPPING RIO CLARO;Av. Condé Francisco Matarazzo Júnior, 205;https://evo-totem.w12app.com.br/selfit/137/site/landing-page/checkout/15516/0";
"PE;PETROLINA;TANCREDO NEVES; Av. Presidente Tancredo Neves, 1079;https://evo-totem.w12app.com.br/selfit/163/site/landing-page/checkout/15531/0";
"MA;SÃO LUIS;TURU; Av. São Luis Rei da França, 140;https://evo-totem.w12app.com.br/selfit/242/site/landing-page/checkout/15551/0";
"CE;FORTALEZA;VIA SUL; Av. Washington Soares, 4335;https://evo-totem.w12app.com.br/selfit/254/site/landing-page/checkout/15562/0";
"CE;FORTALEZA;WASHINGTON SOARES; Av. Washington Soares, 3000;https://evo-totem.w12app.com.br/selfit/141/site/landing-page/checkout/15519/0";
"PE;CAMARAGIBE;CAMARÁ SHOPPING;Rua Manoel Honorato da Costa, 555;https://evo-totem.w12app.com.br/selfit/276/site/landing-page/checkout/15583/0";
"MA;SÃO LUIS;TIRIRICAL;Av. Lourenço Vieira da Silva, 2.363;https://evo-totem.w12app.com.br/selfit/286/site/landing-page/checkout/15592/0";
"PI;TERESINA;DIRCEU;R. Joaquim Nelson, 2743 - Parque Ideal,;https://evo-totem.w12app.com.br/selfit/279/site/landing-page/checkout/15586/0";
"SP;SÃO JOSÉ DOS CAMPOS;OSWALDO CRUZ;Av. Dr. Nelson D'Ávila, 1.941, Térreo Loja - Jardim São Dima;https://evo-totem.w12app.com.br/selfit/160/site/landing-page/checkout/15529/0";
"PE;JABOATÃO;BERNARDO VIEIRA DE MELO ;Av. Bernardo Vieira de Melo, 941 - Piedade;https://evo-totem.w12app.com.br/selfit/278/site/landing-page/checkout/15585/0";
"RN;PARNAMIRIM;ABEL CABRAL;Av. Abel Cabral, S/N - Nova Parnamirim;https://evo-totem.w12app.com.br/selfit/290/site/landing-page/checkout/15596/0";
"CE;FORTALEZA;JAIME BENÉVOLO; Jaime Benévolo, 1.188, 1.190 e 1.200 - José Bonifácio,;https://evo-totem.w12app.com.br/selfit/289/site/landing-page/checkout/15595/0";
"RN;NATAL;TIROL;Av Hermes da Fonseca, 1148 - Tirol;https://evo-totem.w12app.com.br/selfit/277/site/landing-page/checkout/15584/0";
"SE;ARACAJU;AUGUSTO FRANCO;Av . Augusto Franco 2.500;https://evo-totem.w12app.com.br/selfit/272/site/landing-page/checkout/15580/0";
"SP;FRANCA;FRANCA ;Av. Dr. Esmael Alonso Y Alonso, 1789 - Centro, Franca - SP, Brasil;https://evo-totem.w12app.com.br/selfit/283/site/landing-page/checkout/15589/0";
